date,arrivals
2009-04-01,8948
2009-05-01,9477
2009-06-01,9417
2009-07-01,9516
2009-08-01,8730
2009-09-01,8848
2009-10-01,9275
2009-11-01,8695
2009-12-01,8933
2010-01-01,8409
2010-02-01,7942
2010-03-01,9304
2010-04-01,9274
2010-05-01,9712
2010-06-01,9201
2010-07-01,9569
2010-08-01,9173
2010-09-01,8924
2010-10-01,9280
2010-11-01,8810
2010-12-01,8825
2011-01-01,8933
2011-02-01,8378
2011-03-01,9812
2011-04-01,9469
2011-05-01,9920
2011-06-01,9167
2011-07-01,9523
2011-08-01,9186
2011-09-01,9201
2011-10-01,9807
2011-11-01,9303
2011-12-01,9418
2012-01-01,9147
2012-02-01,9003
2012-03-01,10262
2012-04-01,9355
2012-05-01,10133
2012-06-01,9715
2012-07-01,9959
2012-08-01,9991
2012-09-01,9773
2012-10-01,10497
2012-11-01,9838
2012-12-01,9692
2013-01-01,9331
2013-02-01,8983
2013-03-01,9828
2013-04-01,9924
2013-05-01,10094
2013-06-01,9839
2013-07-01,10442
2013-08-01,9897
2013-09-01,9388
2013-10-01,10118
2013-11-01,9423
2013-12-01,9408
2014-01-01,9204
2014-02-01,8753
2014-03-01,10369
2014-04-01,9875
2014-05-01,10569
2014-06-01,10319
2014-07-01,10848
2014-08-01,9673
2014-09-01,9830
2014-10-01,9999
2014-11-01,9615
2014-12-01,9506
2015-01-01,8975
2015-02-01,8490
2015-03-01,9982
2015-04-01,9519
2015-05-01,10223
2015-06-01,9946
2015-07-01,10307
2015-08-01,9757
2015-09-01,9684
2015-10-01,10117
2015-11-01,9993
2015-12-01,9810
2016-01-01,10060
2016-02-01,9893
2016-03-01,10995
2016-04-01,9982
2016-05-01,10757
2016-06-01,10519
2016-07-01,11138
2016-08-01,10402
2016-09-01,10421
2016-10-01,10818
2016-11-01,10349
2016-12-01,10350
2017-01-01,10125
2017-02-01,9260
2017-03-01,10736
2017-04-01,10192
2017-05-01,11083
