Run,Mean_Q_Time_Nurse
0,18.760512724184963
1,20.01302941397169
2,9.717326241289687
3,10.966715855833307
4,18.483627497249017
5,13.710890387778605
6,13.541361540267776
7,3.0174774010019454
8,30.83312194293532
9,15.646425239388456
10,14.005345300841892
11,19.12722859141652
12,31.054934302330373
13,18.98974257480218
14,34.60408431640472
15,34.65036265875611
16,7.121773881072174
17,5.036490651573282
18,5.587779892377096
19,27.9694504457983
20,19.31920325380455
21,16.477653012286748
22,8.184896668150532
23,11.127009543559176
24,9.8765686657005
25,18.68327359289987
26,15.79325822600172
27,7.46766407881237
28,19.068187391117544
29,14.842465382934613
30,19.843473827842022
31,4.762173591226059
32,10.233427287113741
33,20.113753923564705
34,19.695323266020814
35,15.773465029429236
36,22.250741260032118
37,24.521182764601168
38,13.361674607384169
39,2.4435467145233423
40,12.781516156646408
41,3.551453849920211
42,6.594395472511647
43,9.671908393280374
44,7.7481593874714205
45,15.105280667148069
46,10.918051519782868
47,14.601743756289615
48,23.78265546731312
49,14.556833416352422
50,5.316762611552726
51,32.71077179486329
52,2.6694457802268783
53,9.590022703292517
54,8.901679826484942
55,33.000585552688605
56,23.854718910215237
57,1.4220574037308542
58,18.821773117546
59,15.432501339891514
60,10.623609448033937
61,26.721222073913772
62,7.439956841212172
63,5.831027105630312
64,10.470652188907899
65,29.920986755548395
66,23.518992186660842
67,3.2717689702300765
68,0.9466852179167263
69,16.31039051543796
70,29.222053626269876
71,3.8906052980701014
72,12.786872600335997
73,27.18632327091658
74,12.752443178796902
75,27.08113739073012
76,3.053033051078768
77,13.411622009219206
78,32.6826272041013
79,26.129167511813097
80,19.45636256130949
81,26.892926237963795
82,30.674343253343373
83,7.582372635187215
84,51.23136558361165
85,23.564222057835963
86,11.542733709363848
87,9.05251183357716
88,8.833387944584445
89,11.49909239316774
90,6.1447336525618415
91,9.959022619015382
92,11.263469586163003
93,1.9193083063436207
94,6.438527690137835
95,16.663857838734582
96,3.6265858928159704
97,0.013445977602980927
98,12.415021788832115
99,8.643205261398066
